date,average_temperature
2022-12-17,18.253186274509783
2022-12-18,19.628676470588243
2022-12-19,20.64534313725491
2022-12-20,20.27279411764707
2022-12-21,19.953921568627447
2022-12-22,20.034558823529416
2022-12-23,20.051225490196078
2022-12-24,20.546568627450977
2022-12-25,21.554411764705872
2022-12-26,22.351715686274506
2022-12-27,22.4389705882353
2022-12-28,21.570588235294117
2022-12-29,18.626715686274512
2022-12-30,18.417156862745088
2022-12-31,20.061764705882347
2023-01-01,19.895098039215696
2023-01-02,19.966421568627457
2023-01-03,18.961029411764713
2023-01-04,17.80269607843136
2023-01-05,17.10906862745097
2023-01-06,16.138970588235306
2023-01-07,15.786274509803906
2023-01-08,17.15318627450981
2023-01-09,18.20833333333332
2023-01-10,18.19950980392157
2023-01-11,17.73651960784313
2023-01-12,17.878676470588225
2023-01-13,20.461519607843144
2023-01-14,21.974509803921574
2023-01-15,21.561519607843156
2023-01-16,19.550980392156884
2023-01-17,19.09852941176472
2023-01-18,19.702696078431376
2023-01-19,18.910539215686256
2023-01-20,18.46691176470587
2023-01-21,20.176960784313714
2023-01-22,21.528186274509814
2023-01-23,22.82254901960784
2023-01-24,22.81029411764703
2023-01-25,23.33014705882353
2023-01-26,23.854656862745106
2023-01-27,23.486519607843146
2023-01-28,22.347794117647066
2023-01-29,20.49436274509802
2023-01-30,21.164950980392156
2023-01-31,22.210539215686293
2023-02-01,21.321323529411746
2023-02-02,19.95661764705881
2023-02-03,19.480637254901957
2023-02-04,20.06691176470587
2023-02-05,20.296323529411758
2023-02-06,21.885294117647053
2023-02-07,22.813725490196067
2023-02-08,23.63970588235293
2023-02-09,23.602205882352933
2023-02-10,22.66691176470588
2023-02-11,24.316176470588257
2023-02-12,24.83161764705883
2023-02-13,22.106862745098045
2023-02-14,20.840686274509803
2023-02-15,20.790931372549007
2023-02-16,22.51274509803924
2023-02-17,23.319607843137277
2023-02-18,23.501960784313727
2023-02-19,24.383333333333336
2023-02-20,25.19142156862746
2023-02-21,26.31960784313726
2023-02-22,26.390686274509836
2023-02-23,26.753921568627426
2023-02-24,26.73480392156862
2023-02-25,26.695588235294117
2023-02-26,26.022794117647067
2023-02-27,26.030147058823523
2023-02-28,25.73651960784316
2023-03-01,26.01348039215687
2023-03-02,27.039950980392174
2023-03-03,26.888480392156872
2023-03-04,27.53382352941176
2023-03-05,27.198039215686265
2023-03-06,26.851470588235305
2023-03-07,27.15833333333334
2023-03-08,27.23995098039216
2023-03-09,26.903186274509782
2023-03-10,27.21936274509804
2023-03-11,26.862500000000004
2023-03-12,27.405882352941173
2023-03-13,28.271568627450996
2023-03-14,27.855147058823537
2023-03-15,27.937254901960774
2023-03-16,25.639460784313737
2023-03-17,23.812254901960777
