date,average_pm25
2023-04-01,30.61248366013073
2023-04-02,29.018842443729913
2023-04-03,31.45506451612902
2023-04-04,34.50204620462048
2023-04-05,38.93727272727269
2023-04-06,46.22609677419356
2023-04-07,41.23342019543976
2023-04-08,42.52681967213113
2023-04-09,45.233430420711954
2023-04-10,50.319901960784314
2023-04-11,55.686797153024926
2023-04-12,54.51452674897123
2023-04-13,45.5537037037037
2023-04-14,46.395976095617485
2023-04-15,54.89324218750003
2023-04-16,53.30895999999996
2023-04-17,51.7437692307692
2023-04-18,50.5335877862595
2023-04-19,45.752702702702706
2023-04-20,50.39968627450982
2023-04-21,45.464395604395634
2023-04-22,39.03777777777775
2023-04-23,27.268263888888892
2023-04-24,33.82881944444446
2023-04-25,38.794201388888894
2023-04-26,38.29097222222221
2023-04-27,35.55711267605634
2023-04-28,36.985659722222195
2023-04-29,35.585486111111095
2023-04-30,32.91496503496501
2023-05-01,33.622222222222206
2023-05-02,30.28052083333334
2023-05-03,33.852210884353724
2023-05-04,27.66041666666667
2023-05-05,31.408653846153864
2023-05-06,37.61006410256409
2023-05-07,37.28351612903224
2023-05-08,38.33796116504857
2023-05-09,40.83441558441561
2023-05-10,37.10703225806449
2023-05-11,35.51487096774195
2023-05-12,35.32470198675496
2023-05-13,32.12128205128204
2023-05-14,32.819003215434094
2023-05-15,32.74671009771987
2023-05-16,39.502927631578956
2023-05-17,36.03612179487178
2023-05-18,27.427202572347262
2023-05-19,32.845144694533744
2023-05-20,33.629903536977494
2023-05-21,38.98513157894734
2023-05-22,34.731511254019296
2023-05-23,36.79613333333334
2023-05-24,30.776047297297314
2023-05-25,34.67190789473687
2023-05-26,24.712500000000006
2023-05-27,30.47225080385851
2023-05-28,34.29849358974354
2023-05-29,37.77188925081431
2023-05-30,37.110533333333336
2023-05-31,36.33087662337663
2023-06-01,40.041928104575156
2023-06-02,41.920524590163915
2023-06-03,42.50633116883116
2023-06-04,39.36838187702262
2023-06-05,36.25914754098362
2023-06-06,37.02709570957096
2023-06-07,38.282058823529425
2023-06-08,38.504379084967326
